sha_a	date_a	author_a	trailer_a	svn_rev_a	add_a	del_a	sha_b	date_b	author_b	trailer_b	svn_rev_b	add_b	del_b	pair_type	same_change	offset_days_b_minus_a	first_message_line
107d9e288	2009-12-06T00:29:09Z	s_nakamoto	T	42	17	14	658b5b414	2009-12-06T00:29:09Z	s_nakamoto	-		17	14	one-trailer	identical	0.00	fix transaction fee bug in CreateTransaction, higher size cutoff for free transactions in GetMinFee
4ea3f3da1	2009-12-11T16:49:21Z	s_nakamoto	T	44	187	89	0bbbee96b	2009-12-11T16:49:21Z	s_nakamoto	-		187	89	one-trailer	identical	0.00	retry IRC if name in use,
e39bc50eb	2009-12-13T00:13:16Z	s_nakamoto	T	46	43	15	25b12b883	2009-12-13T00:13:16Z	s_nakamoto	-		43	15	one-trailer	identical	0.00	misc exit code, updated setup.nsi
e89977945	2009-12-13T02:13:43Z	s_nakamoto	T	47	2	1	bd336ba27	2009-12-13T02:13:43Z	s_nakamoto	-		2	1	one-trailer	identical	0.00	restrict file permissions on linux to the user only
e2c2648c1	2009-12-14T02:12:01Z	s_nakamoto	T	49	38	19	2da02dd77	2009-12-14T02:12:01Z	s_nakamoto	-		38	19	one-trailer	identical	0.00	filter out duplicate getblocks and don't relay inv messages during initial block download -- 0.2 rc2
312c2c42b	2009-12-17T18:15:50Z	s_nakamoto	T	51	5	2	9228c53cf	2009-12-17T18:15:50Z	s_nakamoto	-		5	2	one-trailer	identical	0.00	a few header changes for freebsd from madhatter
9a3656234	2009-12-17T23:16:27Z	s_nakamoto	T	52	15	19	95d839f15	2009-12-17T23:16:27Z	s_nakamoto	-		15	19	one-trailer	identical	0.00	command line switch -noui
cb0f89646	2010-01-28T00:31:00Z	s_nakamoto	T	53	129	117	80264be42	2010-01-28T00:31:00Z	s_nakamoto	-		129	117	one-trailer	identical	0.00	simplify AddAddress,
8be979d9a	2010-01-28T21:49:20Z	s_nakamoto	T	54	153	41	9e56521b4	2010-01-28T21:49:20Z	s_nakamoto	-		153	41	one-trailer	identical	0.00	now compiles on 64-bit Ubuntu Karmic with wxWidgets-2.9.0,
53d508072	2010-02-03T22:58:40Z	s_nakamoto	T	55	1275	1163	2939cab06	2010-02-03T22:58:40Z	s_nakamoto	-		1275	1163	one-trailer	identical	0.00	update fSpent flag on wallet transactions if they're seen spent in case copy of wallet.dat was used elsewhere or restored from backup,
082e725b3	2010-02-04T15:31:46Z	sirius-m	T	56	101	8	a43c00c56	2010-02-04T15:31:46Z	sirius-m	-		101	8	one-trailer	identical	0.00	Added some basic IPC functionality using wxServer, wxClient and wxConnection.
c41226d84	2010-02-10T19:33:04Z	s_nakamoto	T	57	8	101	1c5d5e58c	2010-02-10T19:33:04Z	s_nakamoto	-		8	101	one-trailer	identical	0.00	revert revision 56, going in different direction with boost::asio and JSON-RPC
75990a46a	2010-02-10T19:41:22Z	s_nakamoto	T	58	1968	0	40d324f10	2010-02-10T19:41:22Z	s_nakamoto	-		1968	0	one-trailer	identical	0.00	JSON Spirit library from http://www.codeproject.com/KB/recipes/JSON_Spirit.aspx, MIT license
fa9dbd6b6	2010-02-10T19:46:04Z	s_nakamoto	T	59	3	1	73278c0a1	2010-02-10T19:46:04Z	s_nakamoto	-		3	1	one-trailer	identical	0.00	better error message in check_type(), tell the types by name instead of by number
98500d70a	2010-02-12T20:38:44Z	s_nakamoto	T	60	1186	332	22f721dbf	2010-02-12T20:38:44Z	s_nakamoto	-		1186	332	one-trailer	identical	0.00	command line and JSON-RPC first draft, requires Boost 1.35 or higher for boost::asio,
c85dfb148	2010-02-13T02:09:07Z	s_nakamoto	T	61	6	2	19765903d	2010-02-13T02:09:07Z	s_nakamoto	-		6	2	one-trailer	identical	0.00	updated build-unix.txt
c4319e678	2010-02-14T00:08:27Z	s_nakamoto	T	62	30	47	7271c7ff3	2010-02-14T00:08:27Z	s_nakamoto	-		30	47	one-trailer	identical	0.00	Workaround for bug on wxWidgets 2.9.0 Ubuntu 9.10 64-bit where first character of the hidden columns were displayed so status column had three numbers overprinted.  Fixed by adding a leading space to the hidden columns.  64-bit compile with wxWidgets 2.9.0 seems to be fully working normally now.
64a474a49	2010-02-14T22:27:13Z	s_nakamoto	T	63	16	19	297a50a06	2010-02-14T22:27:13Z	s_nakamoto	-		16	19	one-trailer	identical	0.00	renamed a few rpc methods
5253d1ab7	2010-02-15T04:03:07Z	s_nakamoto	T	64	127	8464	cc4b78d59	2010-02-15T04:03:07Z	s_nakamoto	-		127	8464	one-trailer	identical	0.00	strip out unfinished product, review and market stuff,
2b63e68bb	2010-02-15T20:36:55Z	s_nakamoto	T	65	1	1	f3cd4206b	2010-02-15T20:36:55Z	s_nakamoto	-		1	1	one-trailer	identical	0.00	fix mingw makefile to use correct wxWidgets include,
e48065976	2010-02-17T17:22:01Z	s_nakamoto	T	66	281	462	bcd271403	2010-02-17T17:22:01Z	s_nakamoto	-		281	462	one-trailer	identical	0.00	all builds are now with wxWidgets-2.9.0, we are now using UTF-8,
c6ab3cf6d	2010-02-17T23:55:43Z	s_nakamoto	T	67	34	6	794298063	2010-02-17T23:55:43Z	s_nakamoto	-		34	6	one-trailer	identical	0.00	safer wxGetTranslation wrapper
75199de53	2010-02-20T21:59:59Z	s_nakamoto	T	68	941	549	6ff4388ff	2010-02-20T21:59:59Z	s_nakamoto	-		941	549	one-trailer	identical	0.00	Address Book with tabs instead of separate Your Address book,
0184604aa	2010-02-21T21:42:01Z	s_nakamoto	T	69	693	132	ee618d754	2010-02-21T21:42:01Z	s_nakamoto	-		693	132	one-trailer	identical	0.00	transaction filter tabs instead of view->show generated
cb420a1df	2010-02-23T22:01:39Z	s_nakamoto	T	70	207	47	30158c77e	2010-02-23T22:01:39Z	s_nakamoto	-		207	47	one-trailer	identical	0.00	run as daemon without GUI,
c2430126d	2010-02-25T21:55:27Z	s_nakamoto	T	71	817	773	5eede9d4d	2010-02-25T21:55:27Z	s_nakamoto	-		817	773	one-trailer	identical	0.00	GUI-less build target bitcoind that links to wxBase and shouldn't need GTK,
6557910cc	2010-02-26T16:09:43Z	s_nakamoto	T	72	3	3	8a46ed83c	2010-02-26T16:09:43Z	s_nakamoto	-		3	3	one-trailer	identical	0.00	wx/utils.h and wx/clipbrd.h not needed on bitcoind wxbase build
d7d80a74d	2010-02-28T15:00:32Z	s_nakamoto	T	73	14	14	9a3358220	2010-02-28T15:00:32Z	s_nakamoto	-		14	14	one-trailer	identical	0.00	fix unsafe string handling in wxGetTranslation
2cffa7ce3	2010-03-05T01:13:27Z	s_nakamoto	T	74	10	4	91e615bfe	2010-03-05T01:13:27Z	s_nakamoto	-		10	4	one-trailer	identical	0.00	fixed runaway memory alloc bug on 64-bit in ParseString found by sirius-m
2d98de1b3	2010-05-19T00:26:56Z	s_nakamoto	T	76	109	74	240f3fbe2	2010-05-19T00:26:56Z	s_nakamoto	-		109	74	one-trailer	identical	0.00	Mac OS build fixes by laszlo
124baa4cc	2010-05-25T23:58:27Z	s_nakamoto	T	77	274	0	9c1e9f0b6	2010-05-25T23:58:27Z	s_nakamoto	-		274	0	one-trailer	identical	0.00	build-osx.txt build instructions and makefile.osx from Laszlo
42605ce8b	2010-05-26T00:05:26Z	s_nakamoto	T	78	364	101	7a47324c7	2010-05-26T00:05:26Z	s_nakamoto	-		364	101	one-trailer	identical	0.00	better prevention of inventory relaying during initial download,
1da44d2e9	2010-05-27T14:11:03Z	s_nakamoto	T	79	806	0	5fe8bc0b4	2010-05-27T14:11:03Z	s_nakamoto	-		806	0	one-trailer	identical	0.00	Italian translation by Joozero
2ca175883	2010-06-02T22:10:06Z	s_nakamoto	T	80	808	0	d9dac6772	2010-06-02T22:10:06Z	s_nakamoto	-		808	0	one-trailer	identical	0.00	Dutch translation by Xunie (93% complete)
f93d5f9ff	2010-06-10T23:10:30Z	s_nakamoto	T	81	267	142	3b318ed09	2010-06-10T23:10:30Z	s_nakamoto	-		267	142	one-trailer	identical	0.00	automatically change displayed address whenever it receives anything,
bed005b63	2010-06-14T22:34:33Z	s_nakamoto	T	82	1	1	78c7bb8e2	2010-06-14T22:34:33Z	s_nakamoto	-		1	1	one-trailer	identical	0.00	revert makefile.unix from -02 back to -00 to fix compile on linux, -02 doesn't really help on linux anyway
e5681bb12	2010-06-15T18:26:32Z	s_nakamoto	T	83	23	12	d0ac235c8	2010-06-15T18:26:32Z	s_nakamoto	-		23	12	one-trailer	identical	0.00	more addr message error checking
6a4a35549	2010-06-16T16:35:34Z	s_nakamoto	T	84	810	0	904ff7d07	2010-06-16T16:35:34Z	s_nakamoto	-		810	0	one-trailer	identical	0.00	German translation by DataWraith
24ba1b64e	2010-06-18T03:14:24Z	s_nakamoto	T	85	95	19	c58e10565	2010-06-18T03:14:24Z	s_nakamoto	-		95	19	one-trailer	identical	0.00	use seed nodes as fallback if IRC fails or with TOR
68b973a91	2010-06-21T01:33:44Z	s_nakamoto	T	86	1046	1122	3ca507a6e	2010-06-21T01:33:44Z	s_nakamoto	-		1046	1122	one-trailer	identical	0.00	fixed colors on ubuntu lucid,
161c38ba6	2010-06-21T17:11:26Z	s_nakamoto	T	87	295	2	a66d097cb	2010-06-21T17:11:26Z	s_nakamoto	-		295	2	one-trailer	identical	0.00	80x80 xpm icon for ubuntu, alignment tweaked to scale nicely to 20x20 and 16x16
36bb88e1b	2010-06-21T18:41:34Z	s_nakamoto	T	88	4	1	dbe23aada	2010-06-21T18:41:34Z	s_nakamoto	-		4	1	one-trailer	identical	0.00	fix system tray icon on windows
8efd8f7f4	2010-06-22T03:45:37Z	s_nakamoto	T	89	5	5	bed3ad104	2010-06-22T03:45:37Z	s_nakamoto	-		5	5	one-trailer	identical	0.00	re-enable hiding taskbar button on minimize on linux, though it doesn't work cleanly
445520bf3	2010-06-22T16:28:15Z	s_nakamoto	T	90	20	10	d63b0adab	2010-06-22T16:28:15Z	s_nakamoto	-		20	10	one-trailer	identical	0.00	added new files to setup.nsi, updated version numbers
6344edc36	2010-06-22T17:59:00Z	s_nakamoto	T	91	2	2	6970bd96d	2010-06-22T17:59:00Z	s_nakamoto	-		2	2	one-trailer	identical	0.00	version 0.3 rc1
3c3fc50c7	2010-06-23T22:51:31Z	s_nakamoto	T	92	9	0	2adc9062d	2010-06-23T22:51:31Z	s_nakamoto	-		9	0	one-trailer	identical	0.00	added instructions to build-unix.txt for building wxBase, which is needed to compile bitcoind
340120853	2010-06-24T16:07:51Z	s_nakamoto	T	93	1	1	6cc56d8e8	2010-06-24T16:07:51Z	s_nakamoto	-		1	1	one-trailer	identical	0.00	updated build-unix.txt instructions: sudo apt-get install libboost-all-dev
8700fae12	2010-06-26T00:23:16Z	s_nakamoto	T	94	3	3	c929529f9	2010-06-26T00:23:16Z	s_nakamoto	-		3	3	one-trailer	identical	0.00	build-unix.txt: updated a few version numbers
06c471639	2010-06-26T15:47:45Z	s_nakamoto	T	95	6	4	e2bf70145	2010-06-26T15:47:45Z	s_nakamoto	-		6	4	one-trailer	identical	0.00	version 0.3 rc2
